"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-31","6.04","0.57",,"60","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-01","6.71","0.38",,"59","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-02","2.24","0.22",,"59","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-03","8.05","0.02",,"60","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-04","8.50","0.32",,"64","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-05","8.95","0.03",,"59","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-06","7.83","0.01",,"55","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-07","7.61","0.00",,"54","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-08","7.61","0.00",,"50","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-09","4.47","0.00",,"48","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-10","4.92","0.00",,"46","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-11","6.71","0.60",,"48","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-12","6.71","0.14",,"55","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-13","5.59","0.21",,"52","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-14","5.82","0.03",,"52","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-15","5.37","0.00",,"49","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-16","3.58","0.22",,"49","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-17","11.86","0.24",,"54","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-18","10.96","0.31",,"50","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-19","13.42","2.13",,"56","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-20","9.40","0.15",,"52","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-21","12.30","0.44",,"47","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-22","3.36","0.00",,"48","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-23","5.37","1.26",,"49","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-24","2.68","0.00",,"48","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-25","8.05","0.00",,"47","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-26","8.50","0.00",,"49","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-27","3.36","0.00",,"50","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-28","6.49","0.11",,"49","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-29","9.40","0.06",,"55","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-11-30","10.29","1.40",,"59","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-01","12.30","0.16",,"56","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-02","13.87","0.77",,"47","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-03","9.84","0.51",,"49","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-04","13.87","0.56",,"53","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-05","11.18","0.06",,"48","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-06","11.41","0.06",,"45","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-07","10.29","0.04",,"46","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-08","4.47","0.00",,"44","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-09","4.70","0.06",,"44","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-10","4.03","0.02",,"45","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-11","10.07","0.12",,"46","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-12","4.47","0.32",,"44","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-13","6.26","0.09",,"45","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-14","3.80","0.31",,"43","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-15","11.41","0.21",,"40","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-16","12.30","0.89",,"44","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-17","21.25","0.08",,"47","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-18","11.86","0.13",,"39","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-19","12.97","0.54",,"47","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-20","8.28","0.52",,"45","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-21","3.80","0.07",,"47","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-22","7.83","0.13",,"47","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-23","5.59","0.26",,"45","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-24","6.26","0.01",,"42","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-25","9.40","0.53",,"42","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-26","10.96","0.18",,"44","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-27","7.16","0.16",,"46","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-28","3.80","0.00",,"47","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-29","3.80","0.06",,"41","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-30","4.03","0.00",,"40","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-12-31","4.47","0.00",,"38","30"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-01","6.04","0.00",,"41","27"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-02","7.16","0.00",,"43","30"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-03","6.71","0.16",,"44","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-04","6.26","0.10",,"50","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-05","6.93","0.12",,"44","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-06","6.71","0.08",,"45","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-07","16.33","0.09",,"50","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-08","14.09","0.64",,"53","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-09","11.41","1.51",,"50","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-10","4.70","0.01",,"38","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-11","4.25","0.00",,"37","27"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-12","4.47","0.00",,"37","25"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-13","3.36","0.00",,"36","24"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-14","2.91","0.00",,"38","28"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-15","5.14","0.00",,"44","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-16","4.03","0.00",,"43","25"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-17","2.24","0.00",,"39","27"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-18","2.91","0.00",,"38","30"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-19","4.25","0.00",,"34","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-20","4.70","0.00",,"38","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-21","2.46","0.00",,"36","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-22","1.34","0.00",,"38","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-23","6.93","0.20",,"45","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-24","5.82","0.23",,"45","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-25","4.70","0.12",,"51","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-26","10.07","0.09",,"47","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-27","10.07","0.07",,"42","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-28","7.16","0.31",,"43","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-29","8.72","0.17",,"47","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-30","8.72","0.14",,"48","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-01-31","8.95","0.12",,"49","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-01","6.49","0.01",,"53","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-02","4.47","0.00",,"43","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-03","6.49","0.09",,"48","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-04","5.82","0.00",,"51","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-05","11.41","0.13",,"50","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-06","10.07","0.04",,"51","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-07","9.17","0.05",,"49","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-08","2.91","0.00",,"46","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-09","2.91","0.01",,"47","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-10","4.47","0.00",,"48","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-11","3.13","0.01",,"47","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-12","12.53","0.04",,"52","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-13","9.17","0.09",,"49","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-14","4.92","0.04",,"49","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-15","5.37","0.00",,"56","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-16","12.53","0.00",,"52","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-17","7.61","0.00",,"49","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-18","4.25","0.00",,"46","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-19","7.61","0.00",,"51","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-20","4.70","0.06",,"46","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-21","13.87","0.02",,"44","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-22","18.12","0.37",,"46","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-23","10.29","0.01",,"50","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-24","12.30","0.00",,"48","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-25","15.88","0.09",,"51","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-26","8.50","0.02",,"48","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-27","4.03","0.18",,"50","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-02-28","8.50","0.32",,"53","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-01","12.08","0.16",,"59","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-02","10.07","0.03",,"57","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-03","6.26","0.00",,"52","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-04","8.72","0.00",,"56","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-05","5.37","0.00",,"49","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-06","9.17","0.47",,"45","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-07","5.59","0.29",,"54","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-08","5.82","0.00",,"53","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-09","2.91","0.00",,"55","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-10","3.58","0.03",,"46","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-11","2.46","0.05",,"51","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-12","12.75","0.08",,"55","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-13","8.28","0.09",,"53","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-14","6.71","0.11",,"53","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-15","9.62","0.00",,"58","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-16","14.32","0.17",,"51","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-17","13.65","0.00",,"48","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-18","13.20","0.00",,"53","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-19","7.61","0.46",,"55","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-20","17.00","0.39",,"52","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-21","10.96","0.32",,"50","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-22","4.92","0.00",,"49","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-23","5.82","0.00",,"50","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-24","4.70","0.00",,"54","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-25","6.26","0.00",,"62","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-26","3.80","0.00",,"62","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-27","3.58","0.01",,"56","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-28","2.91","0.08",,"61","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-29","5.59","0.00",,"65","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-30","9.84","0.00",,"68","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-03-31","6.49","0.00",,"69","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-01","8.05","0.00","55","63","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-02","4.92","0.00","53","57","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-03","3.58","0.00","53","62","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-04","6.71","0.33","54","58","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-05","12.53","0.73","54","57","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-06","11.18","0.50","50","54","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-07","8.72","1.54","45","47","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-08","6.93","0.03","46","56","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-09","5.37","0.00","48","54","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-10","14.32","0.37","53","59","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-11","8.50","0.06","49","54","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-12","10.29","0.38","46","46","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-13","12.75","0.37","43","51","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-14","5.14","0.23","44","55","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-15","5.37","0.00","46","57","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-16","5.82","0.01","46","57","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-17","7.38","0.00","49","59","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-18","8.95","0.21","49","53","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-19","10.96","0.81","51","56","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-20","12.97","0.00","51","57","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-21","9.17","0.13","49","54","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-22","9.62","0.00","49","61","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-23","6.26","0.00","51","64","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-24","6.71","0.00","55","70","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-25","2.46","0.00","58","71","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-26","4.92","0.00","57","69","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-27","13.20","0.00","57","57","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-28","11.63","0.04","53","59","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-29","9.40","0.15","50","57","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-04-30","5.37","0.00","47","55","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-01","6.93","0.00","50","65","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-02","8.95","0.00","56","69","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-03","10.96","0.00","58","71","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-04","14.54","0.00","64","77","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-05","11.86","0.00","69","84","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-06","4.47","0.00","71","87","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-07","7.38","0.00","63","69","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-08","4.25","0.00","57","67","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-09","2.91","0.00","57","73","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-10","2.24","0.00","63","79","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-11","5.82","0.00","65","81","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-12","8.72","0.26","67","71","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-13","11.18","0.13","59","66","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-14","5.37","0.00","53","65","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-15","5.14","0.04","56","63","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-16","6.04","0.00","58","71","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-17","8.28","0.02","58","63","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-18","6.49","0.00","56","62","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-19","5.14","0.00","57","65","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-20","4.03","0.00","56","67","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-21","10.74","0.54","54","60","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-22","6.71","0.54","49","52","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-23","4.25","0.16","49","54","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-24","6.04","0.01","52","62","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-25","6.04","0.00","55","64","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-26","4.92","0.06","56","65","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-27","6.93","0.38","57","62","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-28","6.26","0.02","56","63","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-29","8.95","0.22","55","61","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-30","11.86","0.00","55","62","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-05-31","5.59","0.00","57","67","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-01","5.59","0.00","60","73","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-02","6.93","0.04","61","69","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-03","6.49","0.00","60","72","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-04","7.61","0.00","65","79","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-05","6.93","0.00","68","80","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-06","5.59","0.00","67","80","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-07","7.16","0.00","65","71","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-08","6.93","0.00","61","69","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-09","8.28","0.00","61","69","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-10","7.16","0.00","60","71","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-11","12.75","0.00","60","68","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-12","9.40","0.01","59","69","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-13","5.82","0.00","59","70","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-14","8.28","0.00","59","68","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-15","6.49","0.00","62","78","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-16","7.61","0.00","65","75","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-17","6.71","0.00","65","78","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-18","7.61","0.01","64","74","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-19","8.28","0.00","61","68","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-20","11.18","0.12","60","63","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-21","3.36","0.01","58","69","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-22","3.80","0.00","63","78","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-23","4.70","0.31","67","72","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-24","8.28","0.19","63","70","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-25","6.26","0.39","64","74","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-26","5.14","0.08","63","72","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-27","2.91","0.14","65","70","62"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-28","4.92","0.00","70","87","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-29","3.80","0.00","74","86","65"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-06-30","5.59","0.00","76","93","63"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-07-01","5.14","0.00","79","89","65"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2013-07-02","6.71","0.00","71","83","60"
